class_id,module,activity,title,programmes,n_programmes,year_level,size_estimate,size_basis,current_day,current_start,current_end,duration_min,current_room,current_room_type,current_room_capacity,n_current_rooms,is_multi_room,weeks,n_weeks,is_teaching,is_block_teaching,recommend_offsite,linked_group,group_order,n_candidate_rooms,candidate_rooms,n_cannot_share_time,cannot_share_time_modules,cannot_share_day_modules
0,BMG715,LEC,BMG715/S2/LEC/SEM/HLA*,MSc Mgmt and Corp Gov Dublin PT (8494) Y2; MSc Mgmt and Corp Gov Marino FT (8382) Y1; Incoming Exchange Stds BandM FT (6274) Y1; MSc Mgmt and Corp Gov FT (8376) Y1; MSc Mgmt and Corp Gov PT (8495) Y2,5,7,35,room_capacity_proxy,Mon,09:15,17:15,480,BA-00-008 (35),general,35,1,0,1,1,0,1,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),5,ACF753; BMG715; BMG718; BMG728; BMG940,ACF753; BMG718; BMG728
1,BMG738,LEC,BMG738/S2/LEC/MBA Jan25,MBA FT (8368) Y1; MBA with Advanced Practice FT (8369) Y2,2,7,35,room_capacity_proxy,Tue,09:15,17:15,480,BA-00-008 (35),general,35,1,0,1,1,0,1,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),2,BMG738; ECO702,ECO702
2,MEC114,TUT,MEC114/S2/TUT 1,BEng Hons Mechatron Eng HLA PT (8870) Y5; BEng Hons Mechatronic Eng PT (8328) Y5; BEng Hons Mechatronic Eng PT (8328) Y1; BEng Hons Mechatron Eng HLA PT (8870) Y4; BEng Hons Mechatron Eng HLA PT (8870) Y3; BEng Hons Mechatronic Eng PT (8328) Y2; MEng Mechatr Eng+Ger Mas DegFT (8265) Y1; MEng Electr Eng+Ger Mas Deg FT (8264) Y1; MEng Hons Biomed Engineer FT (8263) Y1; MEng Mechatronic Engin FT (8266) Y1; BEng Hons Mechatronic Eng FT (8267) Y1; MEng Engineering Mngt FT (8268) Y1; MEng Mechanical Engin FT (8270) Y1; MEng Electronic Engin FT (8271) Y1; BEng Hons Electronic Eng FT (8272) Y1; BSc Hons Tech w Design FT (8273) Y1; BEng Hons Biom Eng. FT (8799) Y1; BEng Hons Mech. Engin FT (8275) Y1; BEng Hons Eng. Mngt FT (8276) Y1; BEng Hons Mechatron Eng HLA PT (8870) Y2; BEng Hons Mechatron Eng HLA PT (8870) Y1; BEng Hons Mechatronic Eng PT (8328) Y3; BEng Hons Mechatronic Eng PT (8328) Y6; BEng Hons Mechatronic Eng PT (8328) Y4,24,1,50,room_capacity_proxy,Wed,09:15,13:15,240,BA-00-021 (50),general,50,8,1,"1,2,3,4,5,6,7,8,9",9,1,0,0,,,26,BA-00-021 (50); BA-00-035 (50); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-03-002 (56); BD-03-006 (54),7,BME104; DES141; MEC113; MEC114; MEC116; MEC120; MEC832,BME104; DES141; MEC113; MEC116; MEC120
3,EEE528,TUT,EEE528/S2/TUT,BEng Hons Mechatron Eng HLA PT (8870) Y5; BEng Hons Mechatronic Eng PT (8328) Y5; BEng Hons Mechatronic Eng PT (8328) Y1; BEng Hons Mechatron Eng HLA PT (8870) Y4; BEng Hons Mechatron Eng HLA PT (8870) Y3; BEng Hons Mechatronic Eng PT (8328) Y2; MEng Mechatronic Engin FT (8266) Y4; BEng Hons Mechatronic Eng FT (8267) Y4; BEng Hons Mechatron Eng HLA PT (8870) Y2; BEng Hons Mechatron Eng HLA PT (8870) Y1; BEng Hons Mechatronic Eng PT (8328) Y3; BEng Hons Mechatronic Eng PT (8328) Y6; BEng Hons Mechatronic Eng PT (8328) Y4; Incoming Exch Stds CEBE FT (6253) Y1,14,5,35,room_capacity_proxy,Wed,12:15,14:15,120,BA-00-008 (35),general,35,1,0,"1,2,3,4,5,6,7,8,9,12,13,14",12,1,0,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),14,ARC521; ARC526; BEN509; CIV529; EEE505; EEE508; EEE515; EEE528; ENE521; ENH524; MEC501; MEC528; SUR503; SUR511,ARC521; ARC526; BEN509; CIV529; EEE505; EEE508; EEE515; ENE521; ENH524; MEC501; MEC528; SUR503; SUR511
4,BMG718,LEC,BMG718/S2/LEC/SEM/HLA*,MSc Mgmt and Corp Gov Dublin PT (8494) Y2; MSc Mgmt and Corp Gov Marino FT (8382) Y1; Incoming Exchange Stds BandM FT (6274) Y1; MSc Mgmt and Corp Gov FT (8376) Y1; MSc Mgmt and Corp Gov PT (8495) Y1; MSc Mgmt and Corp Gov PT (8495) Y2,6,7,35,room_capacity_proxy,Wed,14:15,17:15,180,BA-00-008 (35),general,35,1,0,"1,2,3,4,5,6,8,9,12,13,14",11,1,0,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),4,ACF753; BMG715; BMG728; BMG940,ACF753; BMG715; BMG728
5,BMG715,LEC,BMG715/S2/LEC/SEM/HLA*,MSc Mgmt and Corp Gov Dublin PT (8494) Y2; MSc Mgmt and Corp Gov Marino FT (8382) Y1; Incoming Exchange Stds BandM FT (6274) Y1; MSc Mgmt and Corp Gov FT (8376) Y1; MSc Mgmt and Corp Gov PT (8495) Y2,5,7,35,room_capacity_proxy,Thu,09:15,17:15,480,BA-00-008 (35),general,35,1,0,1,1,0,1,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),5,ACF753; BMG715; BMG718; BMG728; BMG940,ACF753; BMG718; BMG728
6,BMG715,LEC,BMG715/S2/LEC/SEM/HLA*,MSc Mgmt and Corp Gov Dublin PT (8494) Y2; MSc Mgmt and Corp Gov Marino FT (8382) Y1; Incoming Exchange Stds BandM FT (6274) Y1; MSc Mgmt and Corp Gov FT (8376) Y1; MSc Mgmt and Corp Gov PT (8495) Y2,5,7,35,room_capacity_proxy,Fri,09:15,17:15,480,BA-00-008 (35),general,35,1,0,1,1,0,1,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),5,ACF753; BMG715; BMG718; BMG728; BMG940,ACF753; BMG718; BMG728
7,SOP541,LEC,"SOP541/S2/Lec 2,3",Bsc Hons Soc Pol w Sociol PT (8602) Y5; Bsc Hons Soc Pol w Sociol PT (8602) Y3; Bsc Hons Soc Pol w Sociol PT (8602) Y2; BSc Hons HltandSoc Care Polic PT (8318) Y5; Bsc Hons Soc Pol w Sociol PT (8602) Y1; BSc Hons Social Policy PT (8321) Y4; BSc Hons HltandSoc Care Polic PT (8318) Y4; BSc Hons Soc Pol w Sociol FT (8242) Y3; BSc Hons Social Policy FT (8246) Y3; BSc Hons Soc Policy w Crim FT (8248) Y3; Bsc Hons Soc Pol w Sociol PT (8602) Y4; BSc Hons Soc Pol w Criminol PT (8391) Y2; BSc Hons HthandSoc Care Polcy FT (8244) Y3,13,5,36,room_capacity_proxy,Mon,09:15,12:15,180,BD-01-023 (36),general,36,5,1,"1,2,3,4,5,6,7,8,9,12,13,14",12,1,0,0,,,35,BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),7,AED703; PUP531; PUP553; PUP714; SOC506; SOC511; SOP507,PUP531; PUP553; SOC506; SOC511; SOP507
8,CMM740,LEC,"CMM740/S2/LEC<2,3,5>*",MSc Communication and PR w OptFT (8292) Y1; MSc Communication and PR w OptPT (8435) Y2,2,7,48,room_capacity_proxy,Mon,13:15,16:15,180,BD-01-018 (48),general,48,6,1,"1,2,3,4,5,6,7,8,9,12,13,14",12,1,0,0,,,30,BA-00-021 (50); BA-00-035 (50); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),1,CMM712,CMM712
9,SLT701,LEC,SLT701/S2/Lec,PG Dip Advancing Practice PT (8641) Y1; PG Cert Advancing Practice PT (8642) Y1,2,7,56,room_capacity_proxy,Tue,09:15,16:15,420,BD-03-002 (56),general,56,2,1,"2,6",2,1,1,0,,,21,BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-03-002 (56),3,PTH704; SLT701; SLT702,SLT702
10,PUP714,LEC,PUP714/S2/Lec/Sem,MSc CriminologyandCrimJustice PT (8140) Y1; MSc CriminologyandCrimJustice FT (8139) Y1,2,7,35,room_capacity_proxy,Thu,10:15,13:15,180,BA-00-008 (35),general,35,2,1,"1,2,3,4,5,6,7,8,9,12,13,14",12,1,0,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),3,AED703; SOP541; SOP708,AED703; SOP708
11,AED703,LEC,AED703/S2/Lec/Sem,MSc Social Policy FT (8295) Y1; MSc Peace and Conf Studies FT (8294) Y1; MSc Social Policy PT (8443) Y2; MSc Social Policy PT (8443) Y1; MSc CriminologyandCrimJustice PT (8140) Y2; MSc CriminologyandCrimJustice PT (8140) Y1; MSc Peace and Conflict Stds PT (8441) Y1; MSc CriminologyandCrimJustice FT (8139) Y1,8,7,35,room_capacity_proxy,Thu,14:15,17:15,180,BA-00-008 (35),general,35,3,1,"1,2,3,4,5,6,7,8,9,12,13,14",12,1,0,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),6,PCS710; PUP714; SOP541; SOP708; SOP712; SOP715,PCS710; PUP714; SOP708; SOP712; SOP715
12,ENE811,LEC,ENE811/S2/LEC1*,MEng Civil Engineering PT (8338) Y8; MSc CivandInfrasEngi Appl Res FT (8161) Y1; MSc Civil and InfrastrEng PT (8455) Y2; MSc Civil and InfrastrEng FT (8299) Y1; MEng Civil Engineering FT (8228) Y5; MSc Civ and Infrastr Eng HLA PT (8454) Y2; MEng Civil Engineering HLA PT (8337) Y8,7,8,35,room_capacity_proxy,Fri,09:15,12:15,180,BA-00-008 (35),general,35,2,1,"2,3,4,5,6,7,8,9,12,13,14",11,1,0,0,,,36,BA-00-008 (35); BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),9,BEN703; CIV807; CIV808; ENE323; ENE706; ENE806; ENE810; FIR804; FIR806,CIV807; CIV808; ENE810
13,FIR806,LEC,FIR806/S2/LEC AM 3<3>*,MSc Fire Safety Engineering FT (8302) Y1; PG Dip Fire Safety Eng.  FT (8309) Y1; MSc Fire Safe Eng Appl Res FT (8106) Y1; PG Dip FireSafe Eng BlkRel PT (8289) Y1; PG Dip Fire Safety Eng.  PT (8469) Y1,5,8,36,room_capacity_proxy,Mon,09:15,13:15,240,BC-03-104A (36),general,36,8,1,"1,2,3,4,5",5,1,0,0,,,35,BA-00-021 (50); BA-00-022 (40); BA-00-035 (50); BA-03-019 (36); BC-00-306 (50); BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-104A (36); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-203 (48); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-05-209 (43); BC-05-302 (48); BC-07-313 (50) MOOT COURT; BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-01-016 (56); BD-01-018 (48); BD-01-023 (36); BD-02-008 (58) (Orpheus); BD-02-009 (58) (Metropole); BD-02-033 (68); BD-02-036 (48); BD-03-002 (56); BD-03-006 (54),5,BEN703; ENE811; FIR804; FIR806; FIR820,FIR804; FIR820
14,FIR806,LEC,"FIR806/S2/LEC 2 <1,>*",MSc Fire Safety Engineering FT (8302) Y1; PG Dip Fire Safety Eng.  FT (8309) Y1; MSc Fire Safe Eng Appl Res FT (8106) Y1; PG Dip FireSafe Eng BlkRel PT (8289) Y1; PG Dip Fire Safety Eng.  PT (8469) Y1,5,8,60,room_capacity_proxy,Mon,14:15,18:15,240,BC-03-123. (60),general,60,3,1,"1,3,4,5,14",5,1,0,0,,,17,BC-00-307 (96) (Lecture Theatre 3); BC-02-308 (158); BC-03-102 (66); BC-03-115. (90); BC-03-115A (90); BC-03-123. (60); BC-03-123A (70); BC-03-125 (72); BC-03-206 (60); BC-03-206A (70); BC-03-213 (64); BC-08-104 / 104A (150); BD-00-011 (60); BD-00-011A (60); BD-01-006 (100); BD-01-014 (160); BD-02-033 (68),5,BEN703; ENE811; FIR804; FIR806; FIR820,FIR804; FIR820
