room_id,room_name,type,capacity
0,BA-00-008 (35),general,35
1,BA-00-016_Illustration Space,specialist,0
2,BA-00-020_TADF Print workshop,specialist,0
3,BA-00-020A_TADF Print workshop,specialist,0
4,BA-00-020B_TADF Print workshop,specialist,0
5,BA-00-021 (50),general,50
6,BA-00-022 (40),general,40
7,BA-00-035 (50),general,50
8,BA-01-002_TADF,general,0
9,BA-01-004_TADF Knit Studio,specialist,0
10,BA-01-007_TADF Knit,specialist,0
11,BA-01-009 (215) Conor Lecture Theatre,theatre,215
12,BA-01-015_TADF Studio,specialist,0
13,BA-01-016_TADF Weave,specialist,0
14,BA-01-016A_TADF Dye Hub,specialist,0
15,BA-01-019_TADF Fashion w/s,specialist,0
16,BA-01-019B_TADF Fashion w/s,specialist,0
17,BA-01-020_TADF Large Shared Studio,specialist,0
18,BA-01-020A_TADF Embroidery,specialist,0
19,BA-02-037 (12),general,12
20,BA-02-038 (12),general,12
21,BA-03-001_Game Design Studio,specialist,0
22,BA-03-002 _Game Design Studio,specialist,0
23,BA-03-003_Games Design Studio,specialist,0
24,BA-03-005_Games Design Studio,specialist,0
25,BA-03-007_Interaction Design,general,0
26,BA-03-009_Animation Lab,specialist,0
27,BA-03-010_Animation Lab,specialist,0
28,BA-03-018_Animation Lab,specialist,0
29,BA-03-019 (36),general,36
30,BA-03-021 (20),general,20
31,BA-03-022 (20),general,20
32,BA-03-023 (20),general,20
33,BA-03-024 - MAC Central computing Lab,computer,0
34,BA-03-026 - Central computing Lab,computer,0
35,BA-03-027_Masters Hub,specialist,0
36,BA-03-028_Masters Hub,specialist,0
37,BA-03-029_Master Hub,specialist,0
38,"BA-04-001_Photography Lecture,Tutorial, Practical",specialist,0
39,BA-04-011_PhotographyAHSS(35),specialist,35
40,BA-04-011A_PhotographyAHSS(16),specialist,16
41,BA-04-011D_PhotographyAHSS(8),specialist,8
42,BA-04-012_Illustration Studio,specialist,0
43,BA-04-013_Graphics Studio (60),specialist,60
44,BA-04-014_Graphic Design Studio,specialist,0
45,BA-04-016_Foundation Open Studio,specialist,0
46,BA-04-017_Foundation PC/Mac Lab,specialist,0
