class_id_a,module_a,class_id_b,module_b
0,BMG715,811,BMG728
0,BMG715,4,BMG718
0,BMG715,117,ACF753
4,BMG718,5,BMG715
4,BMG718,6,BMG715
4,BMG718,811,BMG728
4,BMG718,117,ACF753
117,ACF753,5,BMG715
117,ACF753,6,BMG715
5,BMG715,811,BMG728
6,BMG715,811,BMG728
811,BMG728,810,BMG725
1,BMG738,1090,ECO702
1090,ECO702,220,BMG738
1090,ECO702,221,BMG738
2,MEC114,294,MEC120
2,MEC114,809,MEC120
2,MEC114,1197,DES141
2,MEC114,1198,BME104
2,MEC114,1199,BME104
2,MEC114,1584,MEC113
2,MEC114,1585,MEC113
2,MEC114,722,MEC116
2,MEC114,723,MEC116
2,MEC114,1841,MEC116
2,MEC114,1842,MEC116
2,MEC114,694,MEC113
2,MEC114,727,MEC116
2,MEC114,726,MEC116
2,MEC114,1081,BME104
2,MEC114,1691,MEC116
2,MEC114,1596,MEC113
2,MEC114,159,BME104
159,BME104,256,COM133
159,BME104,257,COM133
159,BME104,1923,COM102
159,BME104,1922,COM102
159,BME104,147,ARC119
159,BME104,660,BEN137
159,BME104,790,BEN133
159,BME104,1304,COM117
159,BME104,1306,COM109
159,BME104,676,COM133
159,BME104,677,COM163
159,BME104,294,MEC120
159,BME104,678,COM163
159,BME104,679,COM163
159,BME104,809,MEC120
159,BME104,683,COM155
159,BME104,49,BEN137
159,BME104,50,BEN137
159,BME104,1460,BEN136
159,BME104,1462,BEN136
159,BME104,55,BEN134
159,BME104,56,BEN134
159,BME104,1463,BEN136
159,BME104,1464,BEN141
159,BME104,699,COM117
159,BME104,1846,BEN131
159,BME104,194,DES135
159,BME104,706,BEN138
159,BME104,1091,ARC119
159,BME104,1476,BEN133
159,BME104,1478,BEN138
159,BME104,1479,BEN138
159,BME104,1480,BEN138
159,BME104,1481,BEN137
159,BME104,74,MEC114
159,BME104,1098,BEN133
159,BME104,1354,COM188
159,BME104,1355,COM102
159,BME104,1485,BEN138
159,BME104,1106,ARC119
159,BME104,1107,ARC119
159,BME104,468,BEN141
159,BME104,469,BEN141
159,BME104,470,BEN141
159,BME104,728,BEN131
159,BME104,729,BEN131
159,BME104,730,BEN131
159,BME104,1628,MEC114
159,BME104,481,BEN141
159,BME104,1633,BEN134
159,BME104,228,BEN137
159,BME104,484,ARC120
159,BME104,1637,BEN136
159,BME104,999,BEN131
159,BME104,488,ARC119
159,BME104,744,BEN136
159,BME104,1638,COM109
159,BME104,491,ARC120
159,BME104,1639,COM109
159,BME104,1765,COM188
159,BME104,1777,COM155
159,BME104,1778,COM155
159,BME104,1013,BEN136
159,BME104,1017,BEN131
159,BME104,1279,BEN136
1081,BME104,256,COM133
1081,BME104,257,COM133
1081,BME104,1923,COM102
1081,BME104,1922,COM102
1081,BME104,790,BEN133
1081,BME104,1304,COM117
1081,BME104,1306,COM109
1081,BME104,676,COM133
1081,BME104,677,COM163
1081,BME104,294,MEC120
1081,BME104,678,COM163
1081,BME104,679,COM163
1081,BME104,809,MEC120
1081,BME104,683,COM155
1081,BME104,49,BEN137
1081,BME104,50,BEN137
1081,BME104,1460,BEN136
1081,BME104,1462,BEN136
1081,BME104,55,BEN134
1081,BME104,56,BEN134
1081,BME104,1463,BEN136
1081,BME104,1464,BEN141
1081,BME104,699,COM117
1081,BME104,1846,BEN131
1081,BME104,194,DES135
1081,BME104,706,BEN138
1081,BME104,1091,ARC119
1081,BME104,1476,BEN133
1081,BME104,1478,BEN138
1081,BME104,1479,BEN138
1081,BME104,1480,BEN138
1081,BME104,1481,BEN137
1081,BME104,74,MEC114
1081,BME104,1098,BEN133
1081,BME104,1354,COM188
1081,BME104,1355,COM102
1081,BME104,1485,BEN138
1081,BME104,1106,ARC119
1081,BME104,1107,ARC119
1081,BME104,470,BEN141
1081,BME104,1628,MEC114
1081,BME104,1633,BEN134
1081,BME104,228,BEN137
1081,BME104,484,ARC120
1081,BME104,1637,BEN136
1081,BME104,999,BEN131
1081,BME104,744,BEN136
1081,BME104,1638,COM109
1081,BME104,1639,COM109
1081,BME104,491,ARC120
1081,BME104,1765,COM188
1081,BME104,1777,COM155
1081,BME104,1778,COM155
1081,BME104,1013,BEN136
1081,BME104,1017,BEN131
1081,BME104,1279,BEN136
1198,BME104,256,COM133
1198,BME104,257,COM133
1198,BME104,1923,COM102
1198,BME104,1922,COM102
1198,BME104,147,ARC119
1198,BME104,660,BEN137
1198,BME104,790,BEN133
1198,BME104,1304,COM117
1198,BME104,1306,COM109
1198,BME104,676,COM133
1198,BME104,677,COM163
1198,BME104,294,MEC120
1198,BME104,678,COM163
1198,BME104,679,COM163
1198,BME104,809,MEC120
1198,BME104,683,COM155
1198,BME104,49,BEN137
1198,BME104,50,BEN137
1198,BME104,1460,BEN136
1198,BME104,1462,BEN136
1198,BME104,55,BEN134
1198,BME104,56,BEN134
1198,BME104,1463,BEN136
1198,BME104,1464,BEN141
1198,BME104,699,COM117
1198,BME104,1846,BEN131
1198,BME104,194,DES135
1198,BME104,706,BEN138
1198,BME104,1091,ARC119
1198,BME104,1476,BEN133
1198,BME104,1478,BEN138
1198,BME104,1479,BEN138
1198,BME104,1480,BEN138
1198,BME104,1481,BEN137
1198,BME104,74,MEC114
1198,BME104,1098,BEN133
1198,BME104,1354,COM188
1198,BME104,1355,COM102
1198,BME104,1485,BEN138
1198,BME104,1106,ARC119
1198,BME104,1107,ARC119
1198,BME104,468,BEN141
1198,BME104,469,BEN141
1198,BME104,470,BEN141
1198,BME104,728,BEN131
1198,BME104,729,BEN131
1198,BME104,730,BEN131
1198,BME104,1628,MEC114
1198,BME104,481,BEN141
1198,BME104,1633,BEN134
1198,BME104,228,BEN137
1198,BME104,484,ARC120
1198,BME104,1637,BEN136
1198,BME104,999,BEN131
1198,BME104,488,ARC119
1198,BME104,744,BEN136
1198,BME104,1638,COM109
1198,BME104,491,ARC120
1198,BME104,1639,COM109
1198,BME104,1765,COM188
1198,BME104,1777,COM155
1198,BME104,1778,COM155
1198,BME104,1013,BEN136
1198,BME104,1017,BEN131
1198,BME104,1279,BEN136
1199,BME104,256,COM133
1199,BME104,257,COM133
1199,BME104,1923,COM102
1199,BME104,1922,COM102
1199,BME104,147,ARC119
1199,BME104,660,BEN137
1199,BME104,790,BEN133
1199,BME104,1304,COM117
1199,BME104,1306,COM109
1199,BME104,676,COM133
1199,BME104,677,COM163
1199,BME104,294,MEC120
1199,BME104,678,COM163
1199,BME104,679,COM163
1199,BME104,809,MEC120
1199,BME104,683,COM155
1199,BME104,49,BEN137
1199,BME104,50,BEN137
1199,BME104,1460,BEN136
1199,BME104,1462,BEN136
1199,BME104,55,BEN134
1199,BME104,56,BEN134
1199,BME104,1463,BEN136
1199,BME104,1464,BEN141
1199,BME104,699,COM117
1199,BME104,1846,BEN131
1199,BME104,194,DES135
1199,BME104,706,BEN138
1199,BME104,1091,ARC119
1199,BME104,1476,BEN133
1199,BME104,1478,BEN138
1199,BME104,1479,BEN138
1199,BME104,1480,BEN138
1199,BME104,1481,BEN137
1199,BME104,74,MEC114
1199,BME104,1098,BEN133
1199,BME104,1354,COM188
1199,BME104,1355,COM102
1199,BME104,1485,BEN138
1199,BME104,1106,ARC119
1199,BME104,1107,ARC119
1199,BME104,468,BEN141
1199,BME104,469,BEN141
1199,BME104,470,BEN141
1199,BME104,728,BEN131
1199,BME104,729,BEN131
1199,BME104,730,BEN131
1199,BME104,1628,MEC114
1199,BME104,481,BEN141
1199,BME104,1633,BEN134
1199,BME104,228,BEN137
1199,BME104,484,ARC120
1199,BME104,1637,BEN136
1199,BME104,999,BEN131
1199,BME104,488,ARC119
1199,BME104,744,BEN136
1199,BME104,1638,COM109
1199,BME104,491,ARC120
1199,BME104,1639,COM109
1199,BME104,1765,COM188
1199,BME104,1777,COM155
1199,BME104,1778,COM155
1199,BME104,1013,BEN136
1199,BME104,1017,BEN131
1199,BME104,1279,BEN136
74,MEC114,294,MEC120
74,MEC114,809,MEC120
74,MEC114,1197,DES141
74,MEC114,1584,MEC113
74,MEC114,1585,MEC113
74,MEC114,722,MEC116
74,MEC114,723,MEC116
74,MEC114,1841,MEC116
74,MEC114,1842,MEC116
74,MEC114,694,MEC113
74,MEC114,727,MEC116
74,MEC114,726,MEC116
74,MEC114,1691,MEC116
74,MEC114,1596,MEC113
1628,MEC114,294,MEC120
1628,MEC114,809,MEC120
1628,MEC114,1197,DES141
1628,MEC114,1584,MEC113
1628,MEC114,1585,MEC113
1628,MEC114,722,MEC116
1628,MEC114,723,MEC116
1628,MEC114,1841,MEC116
1628,MEC114,1842,MEC116
1628,MEC114,694,MEC113
1628,MEC114,727,MEC116
1628,MEC114,726,MEC116
1628,MEC114,1691,MEC116
1628,MEC114,1596,MEC113
694,MEC113,1841,MEC116
