module,size,source
PPD428,250,confirmed by timetabling
BMG350,250,confirmed by timetabling
BMG403,250,confirmed by timetabling
COM663,100,confirmed by timetabling
BME104,100,confirmed by timetabling
LAW139,225,confirmed by timetabling
FIN303,110,confirmed by timetabling
MEC114,300,confirmed by timetabling
BEN134,260,confirmed by timetabling
LAW311,200,confirmed by timetabling
LAW140,250,confirmed by timetabling
BEN136,350,confirmed by timetabling
SLS506,120,confirmed by timetabling
ECO109,220,confirmed by timetabling
SUR511,110,confirmed by timetabling
